MID,DISCIPLINE,EIN,CO_LOC_RES,NTEEC,DUNS,NAICS,COMMONNAME,LEGALNAME,ALTNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,IRS_NAME15,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,IRS_ZIP15,RULEDATE15,IPEDS,INSTNAME,INSTCITY,INSTST,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4,FIPSST,FIPSCO,GSTREET,GCITY,GSTATE,GZIP,GZIP5,BMF15_F,IRS990_F,IMLSAD_F,PFND_F,FCT3P_F,USER_F,UNI_F,OTHER_F,SOURCE
 , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8400100009,HSC,630480594, ,A54,166006296,712110,STURDIVANT HALL,STURDIVANT MUSEUM ASSOCIATION OF SELMA INC, , ,713 MABRY ST,SELMA,AL,36702,36702, , , , , ,3348725626, ,STURDIVANT MUSEUM ASSOCIATION OF SELMA INC,201312,5,789462,291156,PO BOX 1205,SELMA,AL,36702-1205,196208, , , , ,-87.02243,32.40623,3,5,4,01,047,PO BOX 1205,SELMA,AL,36702-1205,36702,1,0,1,0,0,0,0,0, 
8400100011,HSC,954895476, ,A54,189593184,813219,SLOSS FURNACES NATIONAL HISTORIC LANDMARK,SLOSS FURNACES FOUNDATION INC, , ,20 32ND ST N,BIRMINGHAM,AL,35222,35222, , , , , ,2053241911,HTTP://SLOSSFURNACES.COM/,SLOSS FURNACES FOUNDATION INC,201312,4,375106,375106,20 32ND ST N,BIRMINGHAM,AL,35222-1236,200303, , , , ,-86.78855,33.52109,3,5,1,01,073,20 32ND ST N,BIRMINGHAM,AL,35222-1236,35222,1,0,1,0,0,0,0,0, 
8400100016,HSC,631188043, ,A80,103779083,813219,NORTHPORT HERITAGE MUSEUM,FRIENDS OF HISTORIC NORTHPORT INC, , ,1991 PARK ST,NORTHPORT,AL,35476,35476, , , , , ,2055238720,HTTP://NORTHPORT-SMITHSONIAN.ORG/,FRIENDS OF HISTORIC NORTHPORT INC,201412,0,0,0,PO BOX 393,NORTHPORT,AL,35476-0393,199910, , , , ,-87.58354,33.23036,3,5,2,01,125,PO BOX 393,NORTHPORT,AL,35476-0393,35476,1,0,0,0,1,0,0,0, 
8400100018,HSC, , , , , ,ORDEMAN-SHAW HOUSE,ORDEMAN-SHAW HOUSE, , ,310 N HULL ST,MONTGOMERY,AL,36104,36104, , , , , ,3106485578, , , , , , , , , , , , , , , ,-86.30384,32.38171,3,5,1,01,101,310 N HULL ST,MONTGOMERY,AL,36104,36104,0,0,0,0,1,0,0,0, 
8400100028,HSC,630870617, ,A80, , ,MAGNOLIA GROVE,HISTORIC MAGNOLIA GROVE FOUNDATION INC, , ,1002 HOBSON ST,GREENSBORO,AL,36744,36744, , , , , ,3346248618,HTTP://PRESERVEALA.ORG/MAGNOLIAGROVE.ASPX?SM=G_K,HISTORIC MAGNOLIA GROVE FOUNDATION INC, ,0, , ,PO BOX 195,GREENSBORO,AL,36744-0195,201411, , , , ,-87.59424,32.71317,3,5,4,01,065,PO BOX 195,GREENSBORO,AL,36744-0195,36744,1,0,1,0,0,0,0,0, 
8400100031,HSC,630401485, ,A82, , ,MUSEUMS OAKLEIGH MUSEUM,HISTORIC MOBILE PRESERVATION SOCIETY INC, , ,350 OAKLEIGH PL,MOBILE,AL,36604,36604, , , , , ,2514321281, ,HISTORIC MOBILE PRESERVATION SOCIETY INC,201405,4,293253,284056,300 OAKLEIGH PL,MOBILE,AL,36604-2910,194201, , , , ,-88.06003,30.68068,3,5,1,01,097,300 OAKLEIGH PL,MOBILE,AL,36604-2910,36604,1,0,0,0,1,0,0,0, 
8400100040,HSC,630899081, ,A20, ,710000,IMAGINATION PLACE,GADSDEN CULTURAL ARTS FOUNDATION INC, , ,501 BROAD ST,GADSDEN,AL,35901,35901,501 BROAD ST,GADSDEN,AL,35901,35901,2565432787,HTTP://WWW.CULTURALARTS.ORG,GADSDEN CULTURAL ARTS FOUNDATION INC,201312,6,2714683,1745386,PO BOX 1507,GADSDEN,AL,35902-1507,198605, , , , ,-86.00513,34.01391,3,5,1,01,055,501 BROAD ST,GADSDEN,AL,35901,35901,1,0,0,0,1,0,0,0, 
8400100042,HSC, , , , , ,SAVARY LIBRARY - GALANGUE ROOM AFRICAN ARTIFACTS COLLECTION,HISTORICAL COLLECTIONS-GALANGUE RM., , ,627 WEST BATTLE STREET,TALLADEGA,AL,35160,35160, , , , , , , , , , , , , , , , , , , , , ,-86.10978,33.43327,3,5,3,01,121,627 WEST BATTLE STREET,TALLADEGA,AL,35160,35160,0,0,1,0,0,0,0,0, 
8400100057,HSC, , , , , ,FORT MORGAN STATE HISTORIC SITE,FORT MORGAN STATE HISTORIC SITE, , ,51 HWY 180 W,GULF SHORES,AL,36542,36542,110 STATE HIGHWAY 180,GULF SHORES,AL,36542,36542,2515407127,HTTP://FORTMORGAN.ORG/, , , , , , , , , , , , , , ,-88.00148,30.22975,3,5,4,01,003,110 STATE HIGHWAY 180,GULF SHORES,AL,36542,36542,0,0,1,0,0,0,0,0, 
