gutenberg_id,text
5314,Household Tales by Brothers Grimm
5314,
5314,by Jacob Grimm and Wilhelm Grimm
5314,Translated by Margaret Hunt
5314,CONTENTS
5314," 1 The Frog King, or Iron Henry (Der Froschkönig oder der eiserne Heinrich)"
5314, 2 Cat and Mouse in Partnership (Katze und Maus in Gesellschaft)
5314, 3 Our Lady’s Child (Marienkind)
5314," 4 The Story of the Youth Who Went Forth to Learn What Fear Was (Märchen von einem, der auszog, das Fürchten zu lernen)"
5314, 5 The Wolf and the Seven Young Kids (Der Wolf und die sieben jungen Geißlein)
5314, 6 Faithful John (Der treue Johannes)
5314, 7 The Good Bargain (Der gute Handel)
5314, 8 The Strange Musician (Der wunderliche Spielmann)
5314, 9 The Twelve Brothers (Die zwölf Brüder)
5314, 10 The Pack of Ragamuffins (Das Lumpengesindel)
5314, 11 Little Brother and Little Sister (Brüderchen und Schwesterchen)
5314, 12 Rapunzel (Rapunzel)
5314, 13 The Three Little Men in the Forest (Die drei Männlein im Walde)
5314, 14 The Three Spinning Women (Die drei Spinnerinnen)
5314, 15 Hansel and Gretel (Hänsel und Gretel)
5314, 16 The Three Snake-Leaves (Die drei Schlangenblätter)
5314, 17 The White Snake (Die weiße Schlange)
5314," 18 Straw, Coal, and Bean (Strohhalm, Kohle und Bohne)"
5314, 19 The Fisherman and His Wife (Von dem Fischer un syner Fru)
5314, 20 The Brave Little Tailor (Das tapfere Schneiderlein)
5314, 21 Cinderella (Aschenputtel)
5314, 22 The Riddle (Das Rätsel)
5314," 23 The Mouse, the Bird, and the Sausage (Von dem Mäuschen, Vögelchen und der Bratwurst)"
5314, 24 Frau Holle (Frau Holle)
5314, 25 The Seven Ravens (Die sieben Raben)
5314, 26 Little Red-Cap (Rotkäppchen)
5314, 27 The Bremen Town Musicians (Die Bremer Stadtmusikanten)
5314, 28 The Singing Bone (Der singende Knochen)
5314, 29 The Devil with the Three Golden Hairs (Der Teufel mit den drei goldenen Haaren)
5314, 30 Little Louse and Little Flea (Läuschen und Flöhchen)
5314, 31 The Girl without Hands (Das Mädchen ohne Hände)
5314, 32 Clever Hans (Der gescheite Hans)
5314, 33 The Three Languages (Die drei Sprachen)
5314, 34 Clever Elsie (Die kluge Else)
5314, 35 The Tailor in Heaven (Der Schneider im Himmel)
5314," 36 The Wishing-table, the Gold-ass, and the Cudgel in the Sack (Tischchendeckdich, Goldesel und Knüppel aus dem Sack)"
5314, 37 Thumbling (Daumesdick)
5314, 38 The Wedding of Mrs. Fox (Die Hochzeit der Frau Füchsin)
5314, 39 The Elves (Die Wichtelmänner)
5314, 40 The Robber Bridegroom (Der Räuberbräutigam)
5314, 41 Herr Korbes (Herr Korbes)
5314, 42 The Godfather (Der Herr Gevatter)
5314, 43 Frau Trude (Frau Trude)
5314, 44 Godfather Death (Der Gevatter Tod)
5314, 45 Thumbling as Journeyman [Thumbling’s Travels] (Daumerlings Wanderschaft)
5314, 46 Fitcher’s Bird [Fowler’s Fowl] (Fitchers Vogel)
5314, 47 The Juniper-Tree (Von dem Machandelboom)
5314, 48 Old Sultan (Der alte Sultan)
5314, 49 The Six Swans (Die sechs Schwäne)
5314, 50 Little Briar-Rose (Dornröschen)
5314, 51 Foundling-Bird (Fundevogel)
5314, 52 King Thrushbeard (König Drosselbart)
5314, 53 Little Snow-White (Sneewittchen)
5314," 54 The Knapsack, the Hat, and the Horn (Der Ranzen, das Hütlein und das Hörnlein)"
5314, 55 Rumpelstiltskin (Rumpelstilzchen)
5314, 56 Sweetheart Roland (Der Liebste Roland)
5314, 57 The Golden Bird (Der goldene Vogel)
5314, 58 The Dog and the Sparrow (Der Hund und der Sperling)
5314, 59 Frederick and Catherine (Der Frieder und das Catherlieschen)
5314, 60 The Two Brothers (Die zwei Brüder)
5314, 61 The Little Peasant (Das Bürle)
5314, 62 The Queen Bee (Die Bienenkönigin)
5314, 63 The Three Feathers (Die drei Federn)
5314, 64 The Golden Goose (Die goldene Gans)
5314, 65 Allerleirauh [All-Kinds-Of-Fur] (Allerleirauh)
5314, 66 The Hare’s Bride (Häsichenbraut)
5314, 67 The Twelve Huntsmen (Die zwölf Jäger)
5314, 68 The Thief and His Master (De Gaudeif un sien Meester)
5314, 69 Jorinde and Joringel (Jorinde und Joringel)
5314, 70 The Three Children of Fortune (Die drei Glückskinder)
5314, 71 How Six Men Got On in the World (Sechse kommen durch die ganze Welt)
5314, 72 The Wolf and the Man (Der Wolf und der Mensch)
5314, 73 The Wolf and the Fox (Der Wolf und der Fuchs)
5314, 74 The Fox and His Cousin (Der Fuchs und die Frau Gevatterin)
5314, 75 The Fox and the Cat (Der Fuchs und die Katze)
5314, 76 The Pink (Die Nelke)
5314, 77 Clever Grethel (Das kluge Gretel)
5314, 78 The Old Man and His Grandson (Der alte Großvater und der Enkel)
5314, 79 The Water-Nix (Die Wassernixe)
5314, 80 The Death of the Little Hen (Von dem Tode des Hühnchens)
5314, 81 Brother Lustig (Bruder Lustig)
5314, 82 Gambling Hansel (De Spielhansl)
5314, 83 Hans in Luck (Hans im Glück)
5314, 84 Hans Married (Hans heiratet)
5314, 85 The Gold-Children (Die Goldkinder)
5314, 86 The Fox and the Geese (Der Fuchs und die Gänse)
